,body
0,'تمام تلاش بازیگر اینه که کسی نتونه قیمت رو پیش بینی کنه ، حرکتهای سهم در این چند ماه بعد از بازگشایی فقط بازی بیش نیست برای بیرون انداختن نوسانگیر ها و مخفی نگهداشتن موعد صعود قیمت وگرنه همه میدونن افزایش سرمایه از طریق سود انباشته یعنی قیمت سهم باید به همون اندازه بالا بره حالا کی ؟ بازیگر تعیین می‌کنه.'
1,'اصلاح فردا تمومه'
2,'درسته ولی 200 درصد یعنی سه برابر و 250 درصد یعنی سه و نیم برابر ، یعنی سه و نیم برابر قیمت بورس باید مساوی سه برابر قیمت بورس باشه که حساب کنیم بورس حدود 3250 تومن و فرابورس 4260 تومن هست ملاحظه میکنید که اختلاف زیاده.'
3,'سلام چند بار پرسیدید قیمت بورس بدلیل افزایش سرمایه بیشتر نسبت به فرابورس کمتره بورس 250 درصد بوده'
4,'بابا چند بار بگم این سهم همیشه در طول تاریخ بورس از لحاظ قیمتی بالاتر از قیمت فرابورس بوده چرا الان باید ۵۰ درصد قیمتش کمتر از همگروهیش فرابورس باشه به چه دلیل'
5,'ای رهاورد جز جگر بزنی ده سطر با زحمت تایپ کردم چرا نمایش نمیدهی یک میلیون پول دادم حق اظهار نظر دارم'
6,'ضربه بزرگ ضرر به سهامداران توسط این نماد توسط یه شخص حقیقی یا حقوقی وفروش سی میلیون سهم به صف خرید در قیمت ۱۶۰۰ تومان در روز بازگشایی چند ماه پیش این نماد که هنوزبه همان دلیل که گفتم وپرتاپ سهم از دامنه قله به دره عمیق ۷۰۰ تومان که بعد از چند ماه هنوز نتوانسته به قیمت روز بازکشایی برسد سهمی که در روز باز گشایی میتوانست حداقل تا ۳۰۰۰تومان حداقل ۵۰ درصد کالا وفرابورس رشد کند الهی خودت این شخص خائن را بمن معرفی کن که دل چند هزار نفر را خون به جگر کرده وضرر زیادی به سهامداران این نماد وارد اورده که جبران ان به هیچ وجه امکان پذیر نبوده ونخواهد بود سالی که نکوست از بهارش پیداست حتی تو این ده روز هم جبران نکرد لعنت به حقوقی این سهم کلاه بردار وبی وجدان'
7,'ول کردن این سهمو'
8,'به لحظات 12.30 و صف خرید نزدیک می شویم
9,به ساعت نگاه کن'
10,'دقیقه 90 منتظر صف خرید باشین
11,پشیمونی سودی نداره'
12,'شک تکنین امروز صف خرید می شه'
13,'قراره بورس رشد کنه تا 1660
14,پس شک نکنین نماد بورس هم باهاش شدید بالا می ره
15,بهترین فراکاب تا1660 نماد بورس خواهد بود
16,فروشنده ها رو داره خالی می کنه'
17,'کم ریسک ترین در فراکاب و بهترین در آینده متوجه خواهید شد.'
18,'امیدوارم'
